# {"t_start": 1603941905.548188, "env_id": "PongNoFrameskip-v4"} 
r,l,t
-20.0,926,9.348491
-20.0,903,15.394678
-20.0,868,21.018841
-21.0,1030,28.039301
-21.0,818,33.944486
-20.0,918,40.099287
-21.0,869,46.749451
-19.0,1142,54.926799
-20.0,893,61.572653
-21.0,786,67.183528
-20.0,871,76.902856
-21.0,820,85.262366
-20.0,945,91.969422
-21.0,783,97.528754
-18.0,1245,106.590194
-20.0,1006,113.879228
-20.0,842,120.166459
-21.0,822,125.787677
-21.0,824,131.414152
-20.0,836,137.530508
-20.0,929,144.076976
-20.0,976,151.143697
-20.0,1068,158.558477
-20.0,930,164.977387
-21.0,759,170.280672
-21.0,823,176.299595
-21.0,764,181.813902
-21.0,819,187.488953
-21.0,821,193.102262
-19.0,1077,200.995549
-20.0,1054,208.485677
-21.0,791,214.018597
-21.0,824,220.114009
-21.0,763,225.567446
-21.0,762,230.930767
-19.0,1284,239.906499
-21.0,763,247.122228
-21.0,821,253.767596
-21.0,758,260.767208
-21.0,880,267.451222
-21.0,851,273.720718
-21.0,759,280.085867
-21.0,760,285.518822
-21.0,761,290.860342
-21.0,761,296.187073
-21.0,763,301.478869
-21.0,757,306.771518
-21.0,760,312.101813
-21.0,764,317.488463
-21.0,763,323.075704
-21.0,763,328.594878
-21.0,763,333.922833
-21.0,759,338.868246
-21.0,763,344.469825
-21.0,763,349.800451
-21.0,758,356.249193
-21.0,825,363.150824
-21.0,762,368.539683
-21.0,879,374.302747
-20.0,835,380.261697
-20.0,1143,388.266668
-21.0,818,393.832178
-20.0,977,400.789383
-21.0,789,406.207974
-20.0,919,412.508397
-19.0,1037,419.68556
-20.0,913,426.057704
-19.0,1007,433.147246
-21.0,761,438.446383
-21.0,757,443.675265
-21.0,758,448.899851
-20.0,1006,455.939632
-21.0,850,461.636749
-21.0,794,467.503835
-20.0,916,473.764353
-20.0,983,480.251468
-21.0,880,486.390503
-21.0,825,492.34067
-20.0,835,497.945266
-20.0,859,504.160124
-21.0,819,509.724493
-21.0,818,515.576559
-20.0,839,521.156526
-21.0,902,527.40192
-21.0,775,532.718255
-20.0,832,538.701505
-20.0,836,544.294034
-21.0,817,550.153822
-21.0,818,555.740129
-21.0,804,561.180642
-20.0,860,567.210886
-21.0,805,574.684154
-20.0,992,584.571101
-21.0,824,590.307382
-21.0,974,597.911222
-21.0,823,603.293248
-21.0,838,609.131164
-21.0,818,614.498535
-21.0,880,620.504954
-21.0,838,626.300282
-20.0,891,632.266651
-19.0,959,638.534831
-19.0,1107,646.296628
-21.0,762,651.506381
-20.0,996,658.259214
-21.0,797,663.529647
-18.0,1090,671.267025
-21.0,759,676.412312
-19.0,992,683.09931
-21.0,942,689.297343
-21.0,1121,696.93983
-20.0,1081,704.089257
-19.0,1020,710.922348
-21.0,762,716.040757
-21.0,809,721.687961
-20.0,977,727.990532
-21.0,878,733.901445
-21.0,846,739.69449
-21.0,886,745.629587
-21.0,820,750.98257
-21.0,788,756.244211
-20.0,856,762.112069
-21.0,823,767.466952
-21.0,825,773.130914
-21.0,886,778.747753
-20.0,836,784.543948
-21.0,1032,791.485457
-21.0,821,796.807564
-21.0,845,802.648762
-21.0,823,807.992985
-21.0,842,813.854253
-21.0,818,819.197493
-21.0,825,824.993033
-20.0,1022,831.873368
-20.0,897,837.946023
-20.0,895,843.918447
-21.0,823,849.272137
-21.0,819,854.979034
-20.0,841,860.672014
-20.0,883,866.864463
-21.0,777,871.992334
-20.0,834,877.758909
-21.0,938,883.912169
-21.0,846,889.329448
-20.0,838,895.035622
-20.0,837,900.763121
-20.0,835,906.137053
-20.0,894,912.137423
-20.0,836,917.890859
-20.0,855,923.325899
-21.0,813,929.01226
-20.0,839,934.427817
-20.0,922,940.555312
-20.0,883,946.472311
-21.0,910,952.748872
-21.0,900,958.920094
-19.0,1143,966.598588
-21.0,781,971.816431
-20.0,836,977.558033
-18.0,1179,985.295943
-20.0,910,991.357711
-21.0,820,996.670758
-21.0,804,1002.334886
-21.0,819,1007.661351
-21.0,821,1012.936071
-21.0,782,1018.441696
-20.0,916,1024.512689
-18.0,1153,1032.213195
-20.0,965,1038.465498
-21.0,879,1044.387877
-21.0,795,1050.017984
-21.0,762,1055.231039
-21.0,763,1060.472098
-20.0,882,1066.401157
-21.0,819,1073.240325
-21.0,997,1084.812117
-20.0,958,1092.077621
-21.0,823,1099.745147
