eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
nan,nan,224,0.00064020883,0.0,1.791131,-0.002513396,0.056833774,-0.14966130256652832,1,128,1.138532962067984,256
nan,nan,257,0.00065647083,0.0078125,1.7883623,-0.0035946406,0.058696453,-1.1920928955078125e-07,2,256,2.134991774102673,512
nan,nan,242,0.000973842,0.029296875,1.7828805,-0.004081385,0.053331036,0.0,3,384,3.1938758400501683,768
nan,nan,204,0.00032324027,0.0,1.7778678,-0.0010025711,0.052062344,0.0,4,512,4.443875661003403,1024
nan,nan,217,8.612523e-05,0.0,1.775871,2.9147544e-05,0.047534376,1.7881393432617188e-07,5,640,5.623480245005339,1280
nan,nan,269,0.00013433417,0.0,1.7769843,-0.0005379105,0.047715463,0.0,6,768,6.575185445020907,1536
847.0,-21.0,278,0.00014997182,0.0,1.7770686,-0.000788448,0.06695102,-0.0425875186920166,7,896,7.495602301089093,1792
886.5,-20.5,230,9.0837886e-05,0.0,1.7808317,-0.00016543525,0.05076479,-0.03440868854522705,8,1024,8.607098138076253,2048
886.5,-20.5,290,0.00014932748,0.0,1.7820318,-0.0013573132,0.045705907,0.0,9,1152,9.489376992103644,2304
886.5,-20.5,296,0.00014696454,0.0,1.782102,0.0004792756,0.052910477,0.0,10,1280,10.35211728210561,2560
886.5,-20.5,323,0.00013481961,0.0,1.7825379,-0.0013716107,0.050198637,5.960464477539063e-08,11,1408,11.144324707100168,2816
886.5,-20.5,314,0.0006828524,0.01171875,1.7856115,-0.0033237538,0.04185005,0.0,12,1536,11.96001492999494,3072
886.5,-20.5,313,0.00011803566,0.0,1.7851253,-0.00044928578,0.04983498,-1.1920928955078125e-07,13,1664,12.77686366206035,3328
883.0,-20.666666666666668,312,0.00031722453,0.0,1.783999,-0.00078718795,0.09712651,-0.021944522857666016,14,1792,13.596344031044282,3584
888.0,-20.5,316,0.00083183224,0.044921875,1.7886374,-0.004240351,0.0729194,-0.008970975875854492,15,1920,14.405449479003437,3840
888.0,-20.5,318,0.00026491092,0.0,1.791121,-0.0008566717,0.04160712,1.1920928955078125e-07,16,2048,15.210757053107955,4096
888.0,-20.5,323,0.000434772,0.01171875,1.7903913,-0.0023873572,0.08436625,0.0,17,2176,16.00335931009613,4352
888.0,-20.5,318,0.00046939187,0.0126953125,1.788178,-0.002442792,0.04474993,0.0,18,2304,16.807688260101713,4608
888.0,-20.5,321,0.00057483447,0.0234375,1.784454,-0.0044282554,0.051209692,0.0,19,2432,17.603785890038125,4864
874.2,-20.6,315,0.00048656572,0.0,1.7773762,-0.002395465,0.06834778,-0.006059050559997559,20,2560,18.415472181048244,5120
874.2,-20.6,280,0.00038835563,0.0,1.7684599,-0.00035915856,0.07323383,0.0,21,2688,19.327327413018793,5376
873.1666666666666,-20.5,251,0.00019738317,0.0,1.7668841,-0.002061457,0.05360862,0.006840527057647705,22,2816,20.34738479007501,5632
873.1666666666666,-20.5,299,0.00047180508,0.0,1.7709382,-0.0017485633,0.040592782,0.0,23,2944,21.203312794095837,5888
873.1666666666666,-20.5,267,0.0004347203,0.0,1.7635312,-0.0011797741,0.044195563,0.0,24,3072,22.161979854106903,6144
873.1666666666666,-20.5,310,0.00038277457,0.0,1.762478,-0.001783344,0.046510614,-1.1920928955078125e-07,25,3200,22.9867080290569,6400
873.1666666666666,-20.5,315,0.0006495826,0.018554688,1.7575307,-0.0035524843,0.040250782,-1.1920928955078125e-07,26,3328,23.798497012001462,6656
